common_name	iupac_name	formula	charge	v0_cm3_per_mol	uncertainty_cm3_per_mol	basis	doi
chloride	chloride	Cl	-1	17.8		measured	10.1006/jcht.1996.0137
dmeah+	(2-hydroxyethyl)dimethylazanium	C4H12NO	1	90.7	2.1	measured	10.1021/acs.jced.1c00352
dmeahcl	(2-hydroxyethyl)dimethylazanium chloride	C4H12ClNO	0	108.5	0.5	measured	10.1021/acs.jced.1c00352
guanidinium chloride	guanidinium chloride	CH6ClN3	0	69.92	0.40	measured	10.1023/A:1005231617292
guanidinium	guanidinium	CH6N3	1	52.12	0.40	derived	10.1023/A:1005231617292
sodium	sodium(1+)	Na	1	-1.21		measured	10.1007/BF01004477
hydroxide	hydroxide	OH	-1	-4.13		measured	10.1007/BF01004477
tetramethylammonium	tetramethylazanium	C4H12N	1	88.2	2	measured	10.1007/BF01004477
dihydrogen phosphate	dihydrogen phosphate	H2PO4	-1	31.7	0.7	measured	10.1007/BF01004477
hydrogen phosphate	hydrogen phosphate	HPO4	-2	5.3	0.5	measured	10.1007/BF01004477
phosphate	phosphate	PO4	-3	-25.6	1	measured	10.1007/BF01004477
sodium chloride	sodium chloride	NaCl	0	16.61	0.01	measured	10.1039/TF9686401898
potassium chloride	potassium chloride	KCl	0	26.81	0.01	measured	10.1039/TF9686401898
potassium bromide	potassium bromide	KBr	0	33.75	0.01	measured	10.1039/TF9686401898
potassium iodide	potassium iodide	KI	0	45.21	0.01	measured	10.1039/TF9686401898
tetrabutylammonium bromide	tetrabutylazanium bromide	C16H36BrN	0	300.40		measured	10.1039/TF9686401898
calcium chloride	calcium dichloride	CaCl2	0	17.839	0.03	measured	10.1039/TF9686402951
barium chloride	barium dichloride	BaCl2	0	23.828	0.08	measured	10.1039/TF9686402951
magnesium chloride	magnesium dichloride	MgCl2	0	14.49		measured	10.1039/TF9666202348
lanthanum chloride	lanthanum trichloride	LaCl3	0	14.28		measured	10.1039/TF9666202348
hydrochloric acid	chlorane	HCl	0	17.82		measured	10.1039/TF9666202348
potassium nitrate	potassium nitrate	KNO3	0	38.05		measured	10.1039/TF9666202348
sodium sulfate	disodium sulfate	Na2SO4	0	11.62		measured	10.1039/TF9666202348
potassium sulfate	dipotassium sulfate	K2SO4	0	31.99		measured	10.1039/TF9666202348
cesium bromide	caesium bromide	CsBr	0	45.32		measured	10.1139/v76-119
rubidium fluoride	rubidium fluoride	RbF	0	11.52		measured	10.1139/v76-119
potassium fluoride	potassium fluoride	KF	0	7.67		measured	10.1139/v76-119
rubidium bromide	rubidium bromide	RbBr	0	37.54		measured	10.1139/v76-119
rubidium chloride	rubidium chloride	RbCl	0	31.82		measured	10.1139/v76-119
cesium chloride	caesium chloride	CsCl	0	39.06		measured	10.1139/v76-119
sodium bromide	sodium bromide	NaBr	0	23.35		measured	10.1139/v76-119
sodium iodide	sodium iodide	NaI	0	34.70		measured	10.1139/v76-119
lithium chloride	lithium chloride	LiCl	0	16.77		measured	10.1139/v76-119
lithium bromide	lithium bromide	LiBr	0	23.53		measured	10.1139/v76-119
lithium iodide	lithium iodide	LiI	0	35.09		measured	10.1139/v76-119
sodium carbonate	disodium carbonate	Na2CO3	0	-6.48		measured	10.1063/1.555981
sodium bicarbonate	sodium hydrogen carbonate	NaHCO3	0	23.181		measured	10.1063/1.555981
potassium carbonate	dipotassium carbonate	K2CO3	0	13.98		derived	10.1063/1.555981
potassium bicarbonate	potassium hydrogen carbonate	KHCO3	0	33.41		derived	10.1063/1.555981
ammonium chloride	ammonium chloride	NH4Cl	0	36.069		measured	10.1063/1.555981
sodium nitrate	sodium nitrate	NaNO3	0	28.007		measured	10.1063/1.555981
ammonium sulfate	diammonium sulfate	(NH4)2SO4	0	50.674		derived	10.1063/1.555981
magnesium sulfate	magnesium sulfate	MgSO4	0	-7.38	2.0	derived	10.1063/1.555981
hydrochloric acid	chlorane	HCl	0	17.84		measured	10.1021/jp108992a
ammonium chloride	ammonium chloride	NH4Cl	0	35.85	0.02	measured	10.1021/jp108992a
nitric acid	nitric acid	HNO3	0	29.35		measured	10.1021/jp108992a
sodium nitrate	sodium nitrate	NaNO3	0	28.137		derived	10.1021/jp108992a
ammonium nitrate	ammonium nitrate	NH4NO3	0	47.24		derived	10.1021/jp108992a
sodium hydroxide	sodium hydroxide	NaOH	0	-5.18		measured	10.1021/jp108992a
sodium bisulfate	sodium hydrogen sulfate	NaHSO4	0	13.0		derived	10.1021/jp108992a
sodium sulfate	disodium sulfate	Na2SO4	0	11.78		derived	10.1021/jp108992a
sulfate	sulfate	SO4	-2	14.213		derived	10.1021/jp1089933
bisulfate	hydrogen sulfate	HSO4	-1	36.495		measured	10.1021/jp1089933
ammonium	azanium	NH4	1	18.02		derived	10.1021/jp1089933
ammonium bisulfate	ammonium hydrogen sulfate	H5NO4S	0	32.23		derived	10.1021/jp1089933
ammonium sulfate	diammonium sulfate	H8N2O4S	0	50.25		derived	10.1021/jp1089933
letovicite	triammonium hydrogen disulfate	H13N3O8S2	0	82.48		derived	10.1021/jp1089933
calcium acetate	calcium diacetate	C4H6CaO4	0	56.737		measured	10.2298/JSC080517049U
guanidinium bromide	guanidinium bromide	CH6BrN3	0	79.84	0.38	measured	10.1023/A:1005231617292
guanidinium acetate	guanidinium acetate	C3H9N3O2	0	54.94	0.31	measured	10.1023/A:1005231617292
guanidinium perchlorate	guanidinium perchlorate	CH6ClN3O4	0	92.33	0.62	measured	10.1023/A:1005231617292
guanidinium sulfate	diguanidinium sulfate	C2H12N6O4S	0	18.66	0.34	measured	10.1023/A:1005231617292
lithium acetate	lithium acetate	C2H3LiO2	0	28.07	0.03	measured	10.1021/je800326n
sodium acetate	sodium acetate	C2H3NaO2	0	38.44	0.05	measured	10.1021/je800326n
potassium acetate	potassium acetate	C2H3KO2	0	51.07	0.04	measured	10.1021/je800326n
magnesium acetate	magnesium diacetate	C4H6MgO4	0	60.23	0.08	measured	10.1021/je800326n
calcium acetate	calcium diacetate	C4H6CaO4	0	72.32	0.13	measured	10.1021/je800326n
lanthanum sulfate	dilanthanum trisulfate	La2(SO4)3	0	-36.30		measured	10.1007/BF00655373
choline chloride	(2-hydroxyethyl)trimethylazanium chloride	C5H14ClNO	0	123.6093		measured	10.1016/j.fluid.2023.113903
sodium perchlorate	sodium perchlorate	NaClO4	0	42.94	0.04	measured	10.1021/acs.jced.1c00495
potassium perchlorate	potassium perchlorate	KClO4	0	53.29	0.04	measured	10.1021/acs.jced.1c00495
potassium chloride	potassium chloride	KCl	0	26.97	0.04	measured	10.1021/acs.jced.1c00495
tetramethylammonium chloride	tetramethylazanium chloride	C4H12ClN	0	107.4	0.2	measured	10.1039/TF9666202738
tetraethylammonium chloride	tetraethylazanium chloride	C8H20ClN	0	167.0	0.2	measured	10.1039/TF9666202738
